IfcGUID,レベル,部屋: 名前,ファミリ,マーク,タイプ IfcGUID,照度,仕様 メーカー,仕様 商品名・銘柄・型番,仕様 規格・寸法,価格,交換日
0LuFMlas932Oj8jqSvsCYP,3FL,事務室,システム天井 照明,1422,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCYQ,3FL,事務室,システム天井 照明,1423,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCYR,3FL,事務室,システム天井 照明,1424,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCY4,3FL,事務室,システム天井 照明,1425,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCY5,3FL,事務室,システム天井 照明,1426,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCY6,3FL,事務室,システム天井 照明,1427,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCY7,3FL,事務室,システム天井 照明,1428,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCY0,3FL,事務室,システム天井 照明,1429,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCY1,3FL,事務室,システム天井 照明,1430,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCY2,3FL,事務室,システム天井 照明,1431,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCY3,3FL,事務室,システム天井 照明,1432,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCYC,3FL,事務室,システム天井 照明,1433,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCYD,3FL,事務室,システム天井 照明,1434,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCYE,3FL,事務室,システム天井 照明,1435,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCYF,3FL,事務室,システム天井 照明,1436,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCY8,3FL,事務室,システム天井 照明,1437,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCY9,3FL,事務室,システム天井 照明,1438,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCYA,3FL,事務室,システム天井 照明,1439,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCYB,3FL,事務室,システム天井 照明,1440,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCYq,3FL,事務室,システム天井 照明,1441,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCYr,3FL,事務室,システム天井 照明,1442,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCYs,3FL,事務室,システム天井 照明,1443,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCYt,3FL,事務室,システム天井 照明,1444,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCYm,3FL,事務室,システム天井 照明,1445,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCYn,3FL,事務室,システム天井 照明,1446,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCYo,3FL,事務室,システム天井 照明,1447,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCYp,3FL,事務室,システム天井 照明,1448,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCYy,3FL,事務室,システム天井 照明,1449,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCYz,3FL,事務室,システム天井 照明,1450,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCY_,3FL,事務室,システム天井 照明,1451,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCY$,3FL,事務室,システム天井 照明,1452,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCYu,3FL,事務室,システム天井 照明,1453,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCYv,3FL,事務室,システム天井 照明,1454,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCYw,3FL,事務室,システム天井 照明,1455,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCYx,3FL,事務室,システム天井 照明,1456,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCYa,3FL,事務室,システム天井 照明,1457,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
